"Date","Time","Open","High","Low","Close","Volume"
11/12/2020,1054,120.29,120.31,120.13,120.17,259114
11/12/2020,1055,120.17,120.26,120.15,120.25,222903
11/12/2020,1056,120.25,120.28,120.2,120.23,133998
11/12/2020,1057,120.22,120.22,120.15,120.2,166070
11/12/2020,1058,120.2,120.26,120.14,120.24,156121
11/12/2020,1059,120.24,120.29,120.21,120.21,158934
11/12/2020,1100,120.22,120.4,120.21,120.37,242703
11/12/2020,1101,120.38,120.45,120.37,120.41,189526
11/12/2020,1102,120.42,120.42,120.31,120.38,154315
11/12/2020,1103,120.38,120.4,120.28,120.38,169204
11/12/2020,1104,120.37,120.45,120.35,120.41,206182
11/12/2020,1105,120.41,120.52,120.4,120.51,357115
11/12/2020,1106,120.51,120.52,120.42,120.47,150754
11/12/2020,1107,120.47,120.49,120.31,120.32,194674
11/12/2020,1108,120.33,120.35,120.25,120.28,152291
11/12/2020,1109,120.28,120.36,120.27,120.28,164155
11/12/2020,1110,120.28,120.3,120.06,120.07,310435
11/12/2020,1111,120.07,120.07,119.89,120.01,535967
11/12/2020,1112,120.01,120.08,119.98,120.03,226124
11/12/2020,1113,120.03,120.05,119.98,120.01,171620
11/12/2020,1114,120.01,120.03,119.86,119.87,256619
11/12/2020,1115,119.87,119.89,119.83,119.86,235612
11/12/2020,1116,119.87,119.95,119.8,119.93,271668
11/12/2020,1117,119.94,119.94,119.84,119.89,177280
11/12/2020,1118,119.89,119.91,119.81,119.89,154048
11/12/2020,1119,119.89,120,119.89,119.96,207060
11/12/2020,1120,119.97,120.01,119.93,119.95,168268
11/12/2020,1121,119.94,119.94,119.78,119.88,235097
11/12/2020,1122,119.88,119.93,119.79,119.83,128702
11/12/2020,1123,119.82,119.94,119.81,119.93,142360
11/12/2020,1124,119.92,119.93,119.85,119.87,95547
11/12/2020,1125,119.87,119.87,119.75,119.81,191534
11/12/2020,1126,119.81,119.88,119.76,119.86,146464
11/12/2020,1127,119.86,119.89,119.75,119.77,141866
11/12/2020,1128,119.77,119.79,119.65,119.78,197078
11/12/2020,1129,119.77,119.9,119.76,119.86,157174
11/12/2020,1130,119.87,119.88,119.77,119.81,121295
11/12/2020,1131,119.82,119.82,119.66,119.67,170310
11/12/2020,1132,119.68,119.75,119.61,119.64,181396
11/12/2020,1133,119.63,119.67,119.51,119.57,225589
11/12/2020,1134,119.57,119.58,119.51,119.57,178072
11/12/2020,1135,119.57,119.6,119.53,119.6,172625
11/12/2020,1136,119.59,119.63,119.56,119.57,134089
11/12/2020,1137,119.58,119.58,119.44,119.5,381858
11/12/2020,1138,119.5,119.51,119.35,119.45,306819
11/12/2020,1139,119.44,119.48,119.35,119.37,174304
11/12/2020,1140,119.36,119.36,119.15,119.16,391570
11/12/2020,1141,119.17,119.25,119.13,119.22,220192
11/12/2020,1142,119.23,119.23,119.05,119.08,242671
11/12/2020,1143,119.08,119.13,119.03,119.09,217760
11/12/2020,1144,119.09,119.22,119.09,119.14,225097
11/12/2020,1145,119.14,119.3,119.09,119.27,241269
11/12/2020,1146,119.27,119.36,119.23,119.35,187938
11/12/2020,1147,119.35,119.35,119.23,119.29,184032
11/12/2020,1148,119.28,119.39,119.24,119.36,206359
11/12/2020,1149,119.36,119.4,119.29,119.29,171035
11/12/2020,1150,119.3,119.43,119.23,119.43,235407
11/12/2020,1151,119.43,119.44,119.33,119.41,141418
11/12/2020,1152,119.4,119.41,119.31,119.4,132297
11/12/2020,1153,119.41,119.53,119.41,119.5,222636
11/12/2020,1154,119.5,119.58,119.49,119.57,177888
11/12/2020,1155,119.57,119.65,119.53,119.56,310835
11/12/2020,1156,119.55,119.61,119.49,119.5,171789
11/12/2020,1157,119.5,119.62,119.49,119.59,168087
11/12/2020,1158,119.58,119.63,119.58,119.6,135993
11/12/2020,1159,119.6,119.63,119.59,119.6,123707
11/12/2020,1200,119.6,119.65,119.51,119.54,209025
11/12/2020,1201,119.53,119.71,119.53,119.69,268358
11/12/2020,1202,119.69,119.82,119.69,119.72,245089
11/12/2020,1203,119.72,119.74,119.69,119.71,161198
11/12/2020,1204,119.71,119.77,119.68,119.76,172131
11/12/2020,1205,119.77,119.81,119.75,119.8,156317
11/12/2020,1206,119.8,119.83,119.77,119.8,105620
11/12/2020,1207,119.81,119.92,119.8,119.92,240386
11/12/2020,1208,119.92,119.95,119.86,119.89,152306
11/12/2020,1209,119.88,119.9,119.82,119.89,262079
11/12/2020,1210,119.89,119.92,119.85,119.88,124104
11/12/2020,1211,119.88,120,119.88,119.96,265695
11/12/2020,1212,119.98,120.02,119.9,119.9,403503
11/12/2020,1213,119.9,120.08,119.86,120.07,285027
11/12/2020,1214,120.07,120.21,120.04,120.13,317420
11/12/2020,1215,120.12,120.13,119.94,119.95,211721
11/12/2020,1216,119.95,120,119.93,119.93,159629
11/12/2020,1217,119.94,120.01,119.86,120,253391
11/12/2020,1218,120.01,120.04,119.89,119.95,168905
11/12/2020,1219,119.95,119.98,119.9,119.97,129454
11/12/2020,1220,119.98,120.13,119.98,120.05,265695
11/12/2020,1221,120.05,120.07,119.93,119.97,112264
11/12/2020,1222,119.96,120.03,119.93,119.99,90807
11/12/2020,1223,119.99,119.99,119.87,119.9,152917
11/12/2020,1224,119.9,119.91,119.73,119.79,223244
11/12/2020,1225,119.8,119.91,119.65,119.9,423360
11/12/2020,1226,119.9,119.92,119.89,119.9,176448
11/12/2020,1227,119.9,119.91,119.72,119.76,298037
11/12/2020,1228,119.76,120.2,119.65,119.78,1698185
11/12/2020,1229,119.79,119.85,119.65,119.66,181305
11/12/2020,1230,119.65,119.74,119.6,119.72,172306
11/12/2020,1231,119.72,119.86,119.69,119.86,163137
11/12/2020,1232,119.85,119.99,119.84,119.97,127421
11/12/2020,1233,119.96,120.07,119.92,120.01,214925
11/12/2020,1234,120.01,120.06,119.94,119.98,144154
11/12/2020,1235,119.97,120.01,119.87,119.92,166160
11/12/2020,1236,119.92,119.99,119.91,119.95,84939
11/12/2020,1237,119.95,119.97,119.92,119.95,90140
11/12/2020,1238,119.95,120.02,119.9,120.02,126132
11/12/2020,1239,120.02,120.03,119.82,119.84,183071
11/12/2020,1240,119.84,119.86,119.75,119.85,150926
11/12/2020,1241,119.85,119.89,119.61,119.68,219685
11/12/2020,1242,119.68,119.7,119.56,119.63,215827
11/12/2020,1243,119.62,119.63,119.53,119.57,98338
11/12/2020,1244,119.58,119.7,119.58,119.64,124695
11/12/2020,1245,119.64,119.68,119.55,119.57,128769
11/12/2020,1246,119.57,119.57,119.26,119.31,361532
11/12/2020,1247,119.32,119.45,119.29,119.45,173822
11/12/2020,1248,119.45,119.48,119.26,119.26,219843
11/12/2020,1249,119.26,119.31,119.19,119.27,197176
11/12/2020,1250,119.26,119.31,119.08,119.13,317211
11/12/2020,1251,119.12,119.2,118.97,119.03,415860
11/12/2020,1252,119.02,119.3,119,119.27,287329
11/12/2020,1253,119.27,119.32,119.13,119.29,301524
11/12/2020,1254,119.3,119.45,119.29,119.36,250597
11/12/2020,1255,119.36,119.46,119.32,119.38,236335
11/12/2020,1256,119.37,119.4,119.29,119.4,145103
11/12/2020,1257,119.4,119.58,119.38,119.55,262554
11/12/2020,1258,119.56,119.57,119.42,119.5,127046
11/12/2020,1259,119.5,119.53,119.42,119.49,92005
11/12/2020,1300,119.48,119.5,119.43,119.47,98514
11/12/2020,1301,119.47,119.49,119.31,119.37,133677
11/12/2020,1302,119.37,119.4,119.27,119.34,160076
11/12/2020,1303,119.34,119.49,119.34,119.45,122975
11/12/2020,1304,119.44,119.49,119.39,119.39,91722
11/12/2020,1305,119.4,119.43,119.36,119.39,78863
11/12/2020,1306,119.39,119.39,119.29,119.29,99498
11/12/2020,1307,119.3,119.38,119.26,119.3,115261
11/12/2020,1308,119.31,119.36,119.23,119.26,105880
